"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы крупные IT-конференции в 2017 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2018?","Кто вы?"
"2017/12/12 4:51:17 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/12 4:53:44 PM GMT+2","Bitcoin по $18K","Да","GDG DevFest Ukraine 2017","Data Science UA 2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 4:58:23 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Lviv IT Arena 2017","Lviv Outsourcing Forum","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/12 5:11:24 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 5:14:46 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 5:25:13 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 5:43:37 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/12 6:02:57 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/12 6:10:16 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 6:27:50 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/12 6:28:25 PM GMT+2","Начал действовать безвизовый режим","Да","JavaDay UA 2017: The Art of Java","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/12 7:15:31 PM GMT+2","Bitcoin по $18K","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/12 7:45:25 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","QA Fest 2017","GameDev Conference 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 7:59:36 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/12 8:12:50 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/12 8:30:40 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/12 8:35:59 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 8:52:34 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/12 9:04:28 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 9:18:35 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 9:18:42 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","KharkivJS","Drupal Camp Kyiv 2017","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/12 10:01:28 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/12 10:11:59 PM GMT+2","Кибератака в Украине (вирус Petya)","Да","IT Weekend Ukraine","Get IT! — Game developers conference","Трудный год, но в целом все хорошо","Все будет плохо, но вы держитесь","Джуниор (меньше двух лет опыта)"
"2017/12/12 10:14:02 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 10:16:00 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/12 10:18:23 PM GMT+2","Начал действовать безвизовый режим","Да","SQLSaturday Kyiv","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 10:41:29 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/12 10:48:53 PM GMT+2","Bitcoin по $18K","Да","Outsource People 2017 Kyiv","Web Standard Days 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 10:53:55 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/12 11:09:54 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","JavaDay UA 2017: The Art of Java","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/12 11:28:36 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","ITEM-2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/12 11:43:03 PM GMT+2","Начал действовать безвизовый режим","Да","IT Weekend Ukraine","PHP fwdays","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 12:20:02 AM GMT+2","Начал действовать безвизовый режим","Да","JavaDay UA 2017: The Art of Java","","Неудачный год, все плохо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 12:21:11 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 12:25:12 AM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 12:34:01 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 1:00:14 AM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 1:25:14 AM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Неудачный год, все плохо","Все будет плохо, но вы держитесь","Синьор (5-10 лет опыта)"
"2017/12/13 1:44:35 AM GMT+2","Начал действовать безвизовый режим","Да","iForum-2017","PyCon Ukraine 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 3:04:53 AM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 3:59:02 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 7:05:18 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/13 7:23:23 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/13 8:08:21 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 9:18:19 AM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","Lviv IT Arena 2017","ITEM-2017","Трудный год, но в целом все хорошо","Все будет плохо, но вы держитесь","Джуниор (меньше двух лет опыта)"
"2017/12/13 9:41:18 AM GMT+2","Bitcoin по $18K","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 10:25:24 AM GMT+2","Bitcoin по $18K","Да","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/13 10:39:21 AM GMT+2","Bitcoin по $18K","Да","QA Fest 2017","Selenium Camp","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 10:54:28 AM GMT+2","Начал действовать безвизовый режим","Да","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/13 10:54:56 AM GMT+2","Bitcoin по $18K","Да","Lviv IT Arena 2017","Highload fwdays","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 11:01:11 AM GMT+2","Bitcoin по $18K","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 11:10:30 AM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/13 12:11:47 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 12:13:29 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","KharkivJS","Selenium Camp","Один из лучших в моей жизни","Все будет плохо, но вы держитесь","Синьор (5-10 лет опыта)"
"2017/12/13 12:15:20 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/13 12:25:01 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 12:28:02 PM GMT+2","Bitcoin по $18K","Да","KharkivJS","Web Standard Days 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 12:28:22 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/13 12:37:14 PM GMT+2","Начал действовать безвизовый режим","Да","JavaDay UA 2017: The Art of Java","Lviv Outsourcing Forum","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/13 1:02:02 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 1:09:27 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 1:43:42 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","KharkivJS","JavaScript fwdays","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 1:56:50 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Olerom Forum 1","Lviv Outsourcing Forum","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 2:05:59 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 2:12:24 PM GMT+2","Bitcoin по $18K","Да","KharkivJS","KharkivCSS #2","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/13 2:31:54 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","KharkivCSS #2","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/13 2:49:33 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","KharkivCSS #2","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/13 3:10:59 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 3:16:25 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","SE2017 Conference","Highload fwdays","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 3:17:47 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 3:30:24 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 3:33:05 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 3:38:09 PM GMT+2","Начал действовать безвизовый режим","Да","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 3:40:22 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","Web Standard Days 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/13 3:55:18 PM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/13 4:02:15 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 4:02:54 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","KharkivCSS #2","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/13 4:08:41 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/13 4:35:44 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/13 4:42:43 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 4:44:53 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 4:49:26 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/13 5:01:03 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","KharkivCSS #2","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 5:17:34 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 5:26:39 PM GMT+2","Bitcoin по $18K","Нет","","","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/13 5:31:30 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Синьор (5-10 лет опыта)"
"2017/12/13 5:35:59 PM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 5:41:26 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 5:51:47 PM GMT+2","хз","Да","IT Weekend Ukraine","PHP fwdays","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 5:59:07 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 6:03:53 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","QA Fest 2017","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 6:33:42 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 6:35:42 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 7:23:02 PM GMT+2","Bitcoin по $18K","Нет","","","Неудачный год, все плохо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 7:43:45 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/13 7:58:47 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","LvivJS 2017","Good progress","Уверен (-а), что год будет лучше 2017","Мега-синьор (10+ лет опыта)"
"2017/12/13 8:17:50 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 8:54:18 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Отличный год! Новая работа в IT, лучше зарплата, но все же не самый лучший так как есть нереализованных цели","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 9:42:07 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/13 9:47:47 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 10:06:26 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 11:13:07 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/13 11:24:38 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/14 12:10:03 AM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 8:16:25 AM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Games Gathering 2017","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/14 9:27:48 AM GMT+2","Запрет «маски-шоу» и изъятие серверов при обыске","Да","JEEConf","XP Days Ukraine 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/14 9:31:58 AM GMT+2","Кибератака в Украине (вирус Petya)","Нет","","","Неудачный год, все плохо","Не жду чуда. Главное, чтобы не хуже 2017","Джуниор (меньше двух лет опыта)"
"2017/12/14 9:37:21 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 10:02:01 AM GMT+2","Начал действовать безвизовый режим","Нет","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 10:28:44 AM GMT+2","Начал действовать безвизовый режим","Да","JavaDay UA 2017: The Art of Java","Selenium Camp","Трудный год, но в целом все хорошо","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/14 12:04:21 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/14 12:27:10 PM GMT+2","Начал действовать безвизовый режим","Да","JEEConf","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 12:28:50 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/14 12:50:47 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","GDG DevFest Ukraine 2017","Data Science UA 2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 12:54:11 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Один из лучших в моей жизни","Не жду чуда. Главное, чтобы не хуже 2017","Миддл (2-5 лет опыта)"
"2017/12/14 12:57:09 PM GMT+2","Кибератака в Украине (вирус Petya)","Да","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/14 12:58:40 PM GMT+2","Bitcoin по $18K","Да","Lviv IT Arena 2017","Lviv Outsourcing Forum","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/14 1:01:37 PM GMT+2","Начал действовать безвизовый режим","Да","KharkivJS","PyCon Ukraine 2017","Нормальный год, все как обычно","Не жду чуда. Главное, чтобы не хуже 2017","Мега-синьор (10+ лет опыта)"
"2017/12/14 1:06:50 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","ITEM-2017","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 1:17:45 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/14 1:19:59 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","GDG DevFest Ukraine 2017","LvivJS 2017","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/14 1:20:26 PM GMT+2","Начал действовать безвизовый режим","Да","GDG DevFest Ukraine 2017","LvivJS 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
"2017/12/14 1:25:15 PM GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2017","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 1:26:37 PM GMT+2","Bitcoin по $18K","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/14 1:29:18 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Нет","","","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 1:30:48 PM GMT+2","Начал действовать безвизовый режим","Нет","","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 1:31:38 PM GMT+2","Начал действовать безвизовый режим","Да","GDG DevFest Ukraine 2017","","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 1:32:00 PM GMT+2","Начал действовать безвизовый режим","Да","Lviv IT Arena 2017","Lviv Project Management Day","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 1:32:22 PM GMT+2","Начал действовать безвизовый режим","Да","GDG DevFest Ukraine 2017","","Трудный год, но в целом все хорошо","Уверен (-а), что год будет лучше 2017","Миддл (2-5 лет опыта)"
"2017/12/14 1:36:12 PM GMT+2","Блокировка ВКонтакте, Яндекс, Mail.ru и др. сервисов из РФ","Да","Lviv IT Arena 2017",".NET Fest","Нормальный год, все как обычно","Уверен (-а), что год будет лучше 2017","Джуниор (меньше двух лет опыта)"
"2017/12/14 1:37:46 PM GMT+2","Кибератака в Украине (вирус Petya)","Да","GDG DevFest Ukraine 2017","LvivJS 2017","Один из лучших в моей жизни","Уверен (-а), что год будет лучше 2017","Синьор (5-10 лет опыта)"
