"Отметка времени","Самое значимое для вас событие года?","Посещали ли вы IT-конференции в 2016 году?","Лучшее профильное мероприятие года в Украине (800+ посетителей)?","Лучшее профильное мероприятие года в Украине (400+ посетителей)?","Как вы оцениваете этот год лично для себя?","Какие у вас ожидания от 2017?","Кто вы?"
"2016/12/14 9:17:51 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","PHP Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/14 9:19:38 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","Web Standarts Days Kyiv","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/14 9:21:41 ПП GMT+2","Появление ""Неприличное.ит""","Да","Dev Challenge 10","IoT Conf UA","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/14 9:29:03 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","","Web Standarts Days Kyiv","Неудачный год, все плохо","Все плохо, пора валить",""
"2016/12/14 9:30:32 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/14 9:33:47 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/14 9:34:56 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Dev Challenge 10","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/14 9:41:27 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Dev Challenge 10","PHP Frameworks Day","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/14 9:41:54 ПП GMT+2","Отмена седьмой волны мобилизации","Да","Dev Challenge 10","KharkivJS#7","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/14 9:43:15 ПП GMT+2","Появление ""Неприличное.ит""","Да","IT Weekend Ukraine","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/14 9:45:00 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/14 9:53:56 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/14 10:01:12 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Media HackWeekend 2016","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/14 10:03:53 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/14 10:06:11 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Все плохо, пора валить","Джуниор (меньше двух лет опыта)"
"2016/12/14 10:28:20 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","IT Форум (Киев, 3.12)","PHP Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/14 10:29:40 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","Outsource People 2016 Kyiv","KharkivJS#7","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/14 10:30:42 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/14 10:44:55 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","iForum2016","PHP Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/14 10:50:16 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","WebCamp 2016","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/14 10:51:40 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/14 10:58:07 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/14 11:02:23 ПП GMT+2","Появление ""Неприличное.ит""","Да","Software Engineering 2016","Build Stuff Ukraine Kyiv","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/14 11:02:30 ПП GMT+2","Отмена седьмой волны мобилизации","Да","IT Форум (Киев, 3.12)","Odessa Dribbble Meetup 2016","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/14 11:06:08 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/14 11:10:47 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/14 11:12:15 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","PHP Frameworks Day","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/14 11:33:39 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/14 11:36:27 ПП GMT+2","Появление ""Неприличное.ит""","Да","Games Gathering 2016","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/14 11:39:06 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","iForum2016","PHP Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/14 11:41:04 ПП GMT+2","Отмена седьмой волны мобилизации","Да","JavaDay Kyiv 2016","","Неудачный год, все плохо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/14 11:44:44 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/14 11:48:10 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Outsource People 2016 Kyiv","HackIT Ukraine 2016","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:00:18 ДП GMT+2","Отмена седьмой волны мобилизации","Да","JEEConf","AI Ukraine’16","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 12:00:41 ДП GMT+2","Появление ""Неприличное.ит""","Да","JEEConf","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/15 12:01:25 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","Lviv IT Arena 2016","AI Ukraine’16","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/15 12:03:53 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:09:48 ДП GMT+2","Появление ""Неприличное.ит""","Да","QA Fest 2016","WebCamp 2016","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 12:10:47 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:49:58 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","ITEM-2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:54:50 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Форум (Киев, 3.12)","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 2:23:30 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 2:56:58 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","iForum2016","Web Standarts Days Kyiv","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 3:07:02 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","IT Форум (Киев, 3.12)","PHP Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 4:13:35 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Неудачный год, все плохо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 5:45:51 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Неудачный год, все плохо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 5:54:22 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Agile EE Conference","KharkivCSS","Неудачный год, все плохо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/15 6:24:04 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","Web Standarts Days Kyiv","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 8:02:03 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","PyCon Ukraine 2016","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 8:10:17 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Media HackWeekend 2016","Build Stuff Ukraine Kyiv","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 8:13:20 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 8:31:07 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 8:35:56 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 8:45:44 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Форум (Киев, 3.12)","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/15 8:46:14 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Dev Challenge 10","PHP Frameworks Day","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 8:47:31 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 8:59:04 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/15 9:14:57 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 9:29:15 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","IT Форум (Киев, 3.12)","PHP Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 9:31:53 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","PHP Frameworks Day","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 9:40:49 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 9:48:11 ДП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 9:56:25 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 9:56:42 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 10:10:14 ДП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/15 10:10:59 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","PyCon Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 10:17:41 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 10:20:32 ДП GMT+2","Появление ""Неприличное.ит""","Да","IT Форум (Киев, 3.12)","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 10:41:03 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 10:41:19 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения",""
"2016/12/15 10:49:26 ДП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 11:05:29 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/15 11:05:59 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","Lviv IT Arena 2016","ITEM-2016","Неудачный год, все плохо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 11:06:28 ДП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","ITEM-2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/15 11:26:38 ДП GMT+2","Отмена седьмой волны мобилизации","Да","","","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/15 11:27:03 ДП GMT+2","Появление ""Неприличное.ит""","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 11:28:08 ДП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 11:47:14 ДП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 11:50:48 ДП GMT+2","Продолжение обысков в IT-компаниях","Да","Games Gathering 2016","HackIT Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 12:00:05 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","QA Fest 2016","WebCamp 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:09:57 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","KharkivJS#7","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:16:07 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","IT Weekend Ukraine","KharkivJS#7","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:31:18 ПП GMT+2","Продолжение обысков в IT-компаниях","Да","Dev Challenge 10","WebCamp 2016","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 12:52:19 ПП GMT+2","Отмена седьмой волны мобилизации","Да","QA Fest 2016","SQLSaturday 2016","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 1:16:52 ПП GMT+2","Появление ""Неприличное.ит""","Да","IT Weekend Ukraine","","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 1:19:11 ПП GMT+2","Появление ""Неприличное.ит""","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 1:26:47 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","KharkivCSS","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 1:39:46 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/15 1:42:55 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","","Web Standarts Days Kyiv","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/15 1:43:28 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 1:48:15 ПП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","SQLSaturday 2016","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/15 1:50:07 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Lviv IT Arena 2016","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 1:52:03 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 1:56:42 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 1:59:02 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Синьор (5-10 лет опыта)"
"2016/12/15 2:21:32 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 2:24:06 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 2:31:59 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","QA Fest 2016","Web Standarts Days Kyiv","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 2:38:34 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Трудный год, но в целом все хорошо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/15 2:51:17 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 2:55:18 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","","","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/15 3:10:51 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Да","Dev Challenge 10","Most JS Frameworks Day","Неудачный год, все плохо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/15 3:19:30 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 3:19:59 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","","Один из лучших в моей жизни","Все будет хорошо",""
"2016/12/15 3:29:44 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 3:29:51 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 3:56:21 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 3:56:27 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Неудачный год, все плохо","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/15 3:57:41 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","IT Форум (Киев, 3.12)","RubyC-2016","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/15 4:05:40 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","IT Weekend Ukraine","HackIT Ukraine 2016","Один из лучших в моей жизни","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 4:09:46 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 4:24:26 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","JavaScript Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/15 4:26:14 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 4:31:07 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","JavaScript Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 4:42:12 ПП GMT+2","Появление ""Неприличное.ит""","Да","","IoT Conf UA","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 4:48:33 ПП GMT+2","Появление ""Неприличное.ит""","Да","","JavaScript Frameworks Day","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 4:53:13 ПП GMT+2","Продолжение обысков в IT-компаниях","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения",""
"2016/12/15 4:54:18 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Dev Challenge 10","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 5:12:18 ПП GMT+2","Отмена седьмой волны мобилизации","Да","Agile EE Conference","","Трудный год, но в целом все хорошо","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/15 5:24:49 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","JEEConf","PHP Frameworks Day","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 5:28:07 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Нормальный год, все как обычно","Все плохо, пора валить","Миддл (2-5 лет опыта)"
"2016/12/15 5:39:34 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 5:45:24 ПП GMT+2","Отмена седьмой волны мобилизации","Да","","","Нормальный год, все как обычно","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 5:50:23 ПП GMT+2","Появление ""Неприличное.ит""","Нет","","","Неудачный год, все плохо","Надеюсь на лучшее, но есть сомнения","Миддл (2-5 лет опыта)"
"2016/12/15 5:51:04 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 5:59:04 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","QA Fest 2016","HackIT Ukraine 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 6:19:13 ПП GMT+2","Отсрочка запуска безвизого режима с ЕС","Нет","","","Трудный год, но в целом все хорошо","Все будет хорошо",""
"2016/12/15 6:21:22 ПП GMT+2","Отмена седьмой волны мобилизации","Да","QA Fest 2016","JavaScript Frameworks Day","Нормальный год, все как обычно","Все будет хорошо",""
"2016/12/15 6:29:18 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Нет","","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 6:40:25 ПП GMT+2","Отмена седьмой волны мобилизации","Да","IT Weekend Ukraine","KharkivCSS","Нормальный год, все как обычно","Все будет хорошо","Джуниор (меньше двух лет опыта)"
"2016/12/15 6:46:45 ПП GMT+2","Отмена седьмой волны мобилизации","Да","iForum2016","","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 6:48:41 ПП GMT+2","Появление ""Неприличное.ит""","Да","Lviv IT Arena 2016","WebCamp 2016","Нормальный год, все как обычно","Все будет хорошо","Синьор (5-10 лет опыта)"
"2016/12/15 8:13:12 ПП GMT+2","Появление ""Неприличное.ит""","Да","Outsource People 2016 Kyiv","PyCon Ukraine 2016","Один из лучших в моей жизни","Все будет хорошо","Миддл (2-5 лет опыта)"
"2016/12/15 8:41:42 ПП GMT+2","Сохранение 5% налога для ЕН на 3-й группе","Да","Black Sea Summit 2016","PHP Frameworks Day","Один из лучших в моей жизни","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/15 8:43:30 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Нет","","","Нормальный год, все как обычно","Надеюсь на лучшее, но есть сомнения","Мега-синьор (10+ лет опыта)"
"2016/12/15 9:16:27 ПП GMT+2","Принятие закона #4496, позволяющего заключать договора по email и инвойсу","Да","Agile EE Conference","AI Ukraine’16","Один из лучших в моей жизни","Все будет хорошо","Мега-синьор (10+ лет опыта)"
"2016/12/15 9:25:54 ПП GMT+2","Отмена седьмой волны мобилизации","Нет","","","Трудный год, но в целом все хорошо","Надеюсь на лучшее, но есть сомнения","Джуниор (меньше двух лет опыта)"
"2016/12/15 9:40:47 ПП GMT+2","Отмена седьмой волны мобилизации","Да","Dev Challenge 10","WebCamp 2016","Трудный год, но в целом все хорошо","Все будет хорошо","Миддл (2-5 лет опыта)"
