"Timestamp","В каком вузе учились?","На каком факультете?","По какой специальности?","В каком году закончили вуз?","Как вы оцениваете полученное образование?","Что полезного для себя приобрели за время учебы?","Сталкивались ли вы с коррупцией в вашем вузе?","Сильные стороны вашего вуза:","Слабые стороны вашего вуза:","Если бы была возможность выбрать другой вуз/специальность, что бы вы выбрали?","Если бы была возможность, вы:","Пригодился ли вам диплом?","Учились очно или заочно?","Ваш пол:","Кем работаете?","Ваш доход:"
"2015/06/16 2:02:51 PM GMT+3","ХНУ им. Каразина","Физико-технический","Ядерная физика","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/16 2:03:06 PM GMT+3","КА ""Шаг""","","Компьютерная графика и дизайн","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Сильные преподаватели;Сотрудничество с работодателями;Престижность и котируемость диплома","Нет современного оборудования","Ничего, мне очень нравится учиться именно в этом вузе ","","Да, у меня диплом специалиста/магистра","Очно","Женщина","Дизайнер","Средний по отрасли"
"2015/06/16 2:05:27 PM GMT+3","ХНУРЭ","КИУ","Системная инженерия","2010-2012","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников","Да, часто","Сотрудничество с работодателями;Современное техническое оборудование","Устаревшая программа обучения;Слабые преподаватели;Слабые студенты","","","Нет, не пригодился","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/16 2:37:54 PM GMT+3","СумГУ","Инженерный","Компьютерные науки","2000-2009","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности;Научились общаться и работать в команд","Только по непрофильным предметам","Изучаемые предметы, программа обучения","Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Другое","Средний по отрасли"
"2015/06/16 2:37:59 PM GMT+3","ВНТУ","КИ","Программная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Подучили английский язык","Да, иногда","Сильные преподаватели;Уровень студентов","Устаревшая программа обучения;Нет сотрудничества с работодателями;Диплом вуза не котируется работодателями","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Разработчик","Средний по отрасли"
"2015/06/16 2:44:48 PM GMT+3","КА ""Шаг""","","Компьютерная графика и дизайн","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Нашли друзей и единомышленников;Получили полезные знания по специальности","Да, иногда","Изучаемые предметы, программа обучения;Престижность и котируемость диплома;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования;Вуз не мотивирует учиться","","Вообще бы не поступал в вуз, шел бы сразу работать","Да, у меня диплом бакалавра","Часть курсов очно, часть заочно","Женщина","Другое","Ниже среднего по отрасли"
"2015/06/16 2:45:13 PM GMT+3","Национальная академия управления","Интеллектуальные системы принятия решений","Компьютерные науки","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Научились эффективно планировать свое время","Нет","Уровень студентов;Культурная жизнь в вузе","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","-","Учился в вузе более качественно","Нет, не пригодился","Часть курсов очно, часть заочно","Мужчина","Менеджер проекта","Средний по отрасли"
"2015/06/16 2:53:11 PM GMT+3","Государственный университет телекоммуникаций","Телелекоммуникаций","Другое - инженерная специальность","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Получили полезные знания по специальности;Научились общаться и работать в команд","Нет","Изучаемые предметы, программа обучения;Сотрудничество с работодателями;Современное техническое оборудование","Слабые студенты","Государственный университет телекоммуникаций","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Другое","Выше среднего по отрасли"
"2015/06/16 3:00:05 PM GMT+3","Государственный университет телекоммуникаций","Телекоммуникаций","Другое - инженерная специальность","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Получили полезные знания по специальности;Завели полезные знакомства среди преподавателей","Нет","Изучаемые предметы, программа обучения;Сотрудничество с работодателями;Современное техническое оборудование","Слабые студенты","Государственный университет телекоммуникаций","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Другое","Средний по отрасли"
"2015/06/16 3:05:21 PM GMT+3","ДУТ","Інформаційних технологій","Телекомунікації","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Получили полезные знания по специальности;Научились эффективно планировать свое время","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Современное техническое оборудование","Диплом вуза не котируется работодателями","","","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/16 3:10:31 PM GMT+3","ДУТ","ТК","Безопасность информационных и коммуникационных систем","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников;Научились общаться и работать в команд","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Менеджер проекта","Средний по отрасли"
"2015/06/16 3:11:14 PM GMT+3","Государственный университет телекоммуникаций","","Безопасность информационных и коммуникационных систем","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Научились преодолевать проблемы","Нет","Сильные преподаватели","Устаревшая программа обучения;Диплом вуза не котируется работодателями;Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/16 3:11:26 PM GMT+3","КНУ им. Шевченко","","Компьютерные науки","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Слабые студенты","нет","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Сисадмин","Выше среднего по отрасли"
"2015/06/16 3:12:19 PM GMT+3","ГУТ","СЗИ","Системы технической защиты информации","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились преодолевать проблемы;Получили полезные знания по специальности","Да, иногда","Сильные преподаватели","Слабые студенты","","","Нет, не пригодился","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/16 3:12:59 PM GMT+3","ДУт","ІБ","Компьютерные науки","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Слабые студенты","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/16 3:13:38 PM GMT+3","Государственный университет телекоммуникаций","ИТ","Телекоммуникации","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились преодолевать проблемы;Получили полезные знания по специальности;Научились общаться и работать в команд;Научились эффективно планировать свое время","Нет","Сильные преподаватели;Сотрудничество с работодателями;Престижность и котируемость диплома","Устаревшая программа обучения;Нет современного оборудования",".","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Женщина","Другое","Средний по отрасли"
"2015/06/16 3:20:02 PM GMT+3","ОЭИС им А.С. Попова","АЭС","Инженер электросвязи","до 1999","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией","Нет","Сильные преподаватели;Уровень студентов","Нет современного оборудования","","","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Выше среднего по отрасли"
"2015/06/16 3:20:11 PM GMT+3","Государственный университет телекоммуникаций","Телекоммуникаций","Телекоммуникации","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности;Научились общаться и работать в команд","Нет","Сотрудничество с работодателями;Современное техническое оборудование;Культурная жизнь в вузе","Устаревшая программа обучения","","","Да, у меня диплом специалиста/магистра","Очно","Женщина","Другое","Выше среднего по отрасли"
"2015/06/16 3:20:54 PM GMT+3","Государственный университет телекоммуникаций ","Телекоммуникаций ","Телекоммуникации","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Получили полезные знания по специальности;Подучили английский язык","Нет","Сильные преподаватели;Сотрудничество с работодателями;Современное техническое оборудование","Устаревшая программа обучения;Слабые студенты;Диплом вуза не котируется работодателями","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/16 3:22:11 PM GMT+3","Государственный университет телекоммуникаций","ИБ","Безопасность информационных и коммуникационных систем","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Получили полезные знания по специальности;Научились общаться и работать в команд","Нет","Сотрудничество с работодателями;Современное техническое оборудование;Культурная жизнь в вузе","Устаревшая программа обучения;Слабые студенты","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/16 3:24:58 PM GMT+3","ДНУ им. Гончара","Физтех","Другое - инженерная специальность","2013-2015","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Повысили общую эрудицию;Научились преодолевать проблемы","Да, иногда","Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/16 3:27:02 PM GMT+3","Государственный университет телекоммуникаций","Информационная безопасность","Безопасность информационных и коммуникационных систем","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Нашли друзей и единомышленников;Получили полезные знания по специальности;Завели полезные знакомства среди преподавателей","Нет","Изучаемые предметы, программа обучения;Современное техническое оборудование;Престижность и котируемость диплома","Слабые преподаватели;Слабые студенты","только этот вуз","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Женщина","Другое","Выше среднего по отрасли"
"2015/06/16 3:29:26 PM GMT+3","государственный университет телекоммуникаций","телекоммуникаций","телекоммуникаций","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Сотрудничество с работодателями;Современное техническое оборудование;Культурная жизнь в вузе","Слабые студенты","НАУ/Программная инженерия","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/16 3:33:58 PM GMT+3","ДУТ","Инфобез","Управление инфбез","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Ничего","Нет","Сотрудничество с работодателями;Культурная жизнь в вузе","Устаревшая программа обучения;Диплом вуза не котируется работодателями;Вуз не мотивирует учиться","Кибернетику КНУ","Учился в вузе более качественно","Нет, не пригодился","Заочно","Мужчина","Бизнес-аналитик","Средний по отрасли"
"2015/06/16 3:34:20 PM GMT+3","Дут","Иб","Безопасность информационных и коммуникационных систем","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Повысили общую эрудицию;Подучили английский язык","Нет","Культурная жизнь в вузе","Устаревшая программа обучения;Диплом вуза не котируется работодателями;Вуз не мотивирует учиться","Бам","Поступил на заочку и шел работать","Да, у меня диплом бакалавра","Очно","Женщина","Другое","Средний по отрасли"
"2015/06/16 3:40:32 PM GMT+3","Государственный университет телекоммуникаций","Телекоммуникаций ","Телекоммуниикационые сети и системы","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Нашли друзей и единомышленников;Научились общаться и работать в команд;Завели полезные знакомства среди преподавателей","Нет","Уровень студентов","Устаревшая программа обучения","","Поступил на заочку и шел работать","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/16 3:41:19 PM GMT+3","ДУТ","ІБ","Безопасность информационных и коммуникационных систем","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности;Подучили английский язык","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Сотрудничество с работодателями","Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Разработчик","Выше среднего по отрасли"
"2015/06/16 3:57:27 PM GMT+3","ДУТ","ІБ","Безопасность информационных и коммуникационных систем","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сотрудничество с работодателями;Современное техническое оборудование","Слабые преподаватели","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Выше среднего по отрасли"
"2015/06/16 3:59:09 PM GMT+3","КА ""Шаг""","","Системная инженерия","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Современное техническое оборудование","Диплом вуза не котируется работодателями","","Учился в вузе более качественно","Нет, не пригодился","Часть курсов очно, часть заочно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/16 3:59:30 PM GMT+3","ГУТ","Телекоммуникации","Другое - инженерная специальность","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Нашли друзей и единомышленников;Научились общаться и работать в команд","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Культурная жизнь в вузе","Нет сотрудничества с работодателями","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Женщина","Другое","Средний по отрасли"
"2015/06/16 4:00:51 PM GMT+3","ГУТ","телекомуникации","телекомуникации","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Научились общаться и работать в команд;Научились эффективно планировать свое время","Нет","Сотрудничество с работодателями;Культурная жизнь в вузе","Слабые преподаватели;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Средний по отрасли"
"2015/06/16 4:01:33 PM GMT+3","НТУУ «КПИ»","ФИВТ","Компьютерные науки","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились общаться и работать в команд;Научились эффективно планировать свое время","Нет","Уровень студентов;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования;Вуз не мотивирует учиться","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Выше среднего по отрасли"
"2015/06/16 4:07:46 PM GMT+3","Государственный университет телекоммуникаций","Телекоммуникаций","Компьютерная инженерия","2013-2015","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Повысили общую эрудицию;Получили полезные знания по специальности","Нет","Сильные преподаватели;Сотрудничество с работодателями;Современное техническое оборудование","Слабые студенты;Вуз не мотивирует учиться","Государственный университет телекоммуникаций","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Сисадмин","Средний по отрасли"
"2015/06/16 4:11:39 PM GMT+3","ДНУ им. Гончара","механико-математический","Другое - инженерная специальность","2000-2009","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Нашли друзей и единомышленников","Нет","Сильные преподаватели;Уровень студентов;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования","","","Да, у меня диплом специалиста/магистра","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/16 4:22:08 PM GMT+3","Снуяэип","Экологической и информационной безопасности","Компьютерно эколого-экономический мониторинг","2016 и позже","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией","Да, часто","Сотрудничество с работодателями","Устаревшая программа обучения;Слабые преподаватели;Вуз не мотивирует учиться","Кпи","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/16 4:22:19 PM GMT+3","ГУТ","менеджмент","организация и управление","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились преодолевать проблемы;Получили полезные знания по специальности;Научились общаться и работать в команд;Научились эффективно планировать свое время","Нет","Уровень студентов;Сотрудничество с работодателями;Культурная жизнь в вузе","Устаревшая программа обучения;Вуз не мотивирует учиться","Культура и искусство","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Менеджер проекта","Средний по отрасли"
"2015/06/16 4:22:42 PM GMT+3","ОНПУ","ИКС","Другое - инженерная специальность","2000-2009","Плохо - полученные знания в большей мере не актуальные, преподование не качественно","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы","Только по непрофильным предметам","Уровень студентов","Устаревшая программа обучения;Нет сотрудничества с работодателями;Нет современного оборудования","Самостоятельно обучение","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Менеджер проекта","Средний по отрасли"
"2015/06/16 4:24:45 PM GMT+3","НТУУ «КПИ»","ФИВТ","Компьютерная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Научились преодолевать проблемы;Научились общаться и работать в команд","Нет","Уровень студентов;Престижность и котируемость диплома","Устаревшая программа обучения;Нет сотрудничества с работодателями;Вуз не мотивирует учиться","","Поступил на заочку и шел работать","Нет, не пригодился","Очно","Мужчина","Разработчик","Ниже среднего по отрасли"
"2015/06/16 4:35:23 PM GMT+3","НТУУ «КПИ»","фивт","Компьютерная инженерия","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Научились преодолевать проблемы;Научились общаться и работать в команд","Только по непрофильным предметам","Изучаемые предметы, программа обучения;Престижность и котируемость диплома","Устаревшая программа обучения;Слабые преподаватели;Нет современного оборудования","","Поступил на заочку и шел работать","Да, у меня диплом специалиста/магистра","Очно","Женщина","Разработчик","Средний по отрасли"
"2015/06/16 4:36:30 PM GMT+3","КА ""Шаг""","Графика и дизайн","Дизайнер","2016 и позже","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Получили полезные знания по специальности;Научились эффективно планировать свое время;Завели полезные знакомства среди преподавателей","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Сотрудничество с работодателями","Слабые студенты;Диплом вуза не котируется работодателями","КА ""ШАГ""","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Дизайнер","Средний по отрасли"
"2015/06/16 4:40:06 PM GMT+3","Государственный университет телекоммуникаций","телекоммуникации","телекоммуникации","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","нихуя","Нет","Сильные преподаватели;Сотрудничество с работодателями;Культурная жизнь в вузе","Нет сотрудничества с работодателями;Нет современного оборудования;Вуз не мотивирует учиться","бурсу","Вообще бы не поступал в вуз, шел бы сразу работать","Нет, не пригодился","Очно","Мужчина","Другое","Ниже среднего по отрасли"
"2015/06/16 4:41:03 PM GMT+3","НТУУ «КПИ»","ИПСА","Системный анализ","2010-2012","Хорошо - актуальные предметы, высокий уровень преподавания, знания даны в достаточном объеме","Научились учиться, работать с информацией;Научились преодолевать проблемы;Получили полезные знания по специальности;Научились общаться и работать в команд","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели;Уровень студентов","Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом специалиста/магистра","Очно","Женщина","Менеджер проекта","Средний по отрасли"
"2015/06/16 4:43:34 PM GMT+3","КА ""Шаг""","Разработка ПО","Инженер-программист","2013-2015","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Научились учиться, работать с информацией;Повысили общую эрудицию;Нашли друзей и единомышленников;Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения;Сильные преподаватели","Вуз не мотивирует учиться","","Учился в вузе более качественно","Нет, не пригодился","Очно","Мужчина","Разработчик","Средний по отрасли"
"2015/06/16 4:43:53 PM GMT+3","ГУТ","","Системы технической защиты информации","2016 и позже","Нормально - достойный уровень, но не всё, что актуально для моей специальности, было дано в полной мере","Получили полезные знания по специальности","Нет","Изучаемые предметы, программа обучения","Устаревшая программа обучения;Нет современного оборудования","","Учился в вузе более качественно","Да, у меня диплом бакалавра","Очно","Мужчина","Другое","Средний по отрасли"
