Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
Software Engineer,C++,,3,3,1350,250,Киев,до 50 человек,Продуктовая,m,26,Высшее,Другой вуз,False,средний,"Desktop Applications,Gamedev",26/06/2017 20:58:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Business analyst,,,3,1,1000,100,Киев,до 1000 человек,Продуктовая,m,33,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,Корпоративные системы",26/06/2017 21:10:24,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Senior Software Engineer,C#/.NET,,4,2,3800,200,Харьков,до 200 человек,Аутстаффинговая,m,33,Высшее,ХАИ,False,средний,"Веб-разработка,Другое",26/06/2017 21:16:31,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Java,,6,5,3990,0,Киев,до 200 человек,Аутстаффинговая,m,27,Высшее,НТУУ «КПИ»,False,выше среднего,"Системное программирование,Другое",26/06/2017 21:30:46,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
Senior Software Engineer,Java,,10 и более лет,10 и более лет,3150,0,Киев,до 10 человек,Продуктовая,m,37,Высшее,НТУУ «КПИ»,False,средний,"Android,iOS",26/06/2017 21:31:22,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,PHP,,4,2,1500,0,Киев,до 10 человек,Стартап,m,22,Техникум / Колледж,,False,ниже среднего,Веб-разработка,26/06/2017 21:33:58,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36"
Software Engineer,C#/.NET,,3,3,1000,0,Киев,до 10 человек,Аутсорсинговая,m,24,Высшее,ГУТ,False,выше среднего,"iOS,Gamedev",26/06/2017 21:38:34,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.12; rv:54.0) Gecko/20100101 Firefox/54.0
Junior QA engineer,,Manual QA,1,меньше 3 месяцев,360,0,Киев,свыше 1000 человек,Продуктовая,m,26,Высшее,Другой вуз,False,средний,Gamedev,26/06/2017 21:39:54,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,300,0,Львов,до 1000 человек,Продуктовая,f,32,Высшее,ЛНУ им. Франко,False,выше среднего,"iOS,Другое",26/06/2017 21:41:47,"Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Scala,,10 и более лет,4,6000,500,Киев,до 50 человек,Продуктовая,m,40,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",26/06/2017 21:56:41,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Project manager,,,10 и более лет,4,4000,0,Киев,свыше 1000 человек,Другая,m,41,Два высших,ХНУ им. Каразина,False,выше среднего,Корпоративные системы,26/06/2017 22:01:54,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA Tech Lead,,Automation QA,6,2,3700,300,Киев,свыше 1000 человек,Аутсорсинговая,m,28,Высшее,НТУУ «КПИ»,False,выше среднего,Desktop Applications,26/06/2017 22:04:35,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Security Specialist,,,4,1.5,300,50,Одесса,до 10 человек,Другая,m,28,Высшее,ОНУ им. Мечникова,False,элементарный,Другое,26/06/2017 22:11:26,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Product Manager,,,2,1,700,100,Херсон,до 50 человек,Продуктовая,f,27,Высшее,Другой вуз,False,продвинутый,"Веб-разработка,Другое",26/06/2017 22:14:48,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,2,0.25,600,0,Киев,до 200 человек,Аутсорсинговая,m,21,Высшее,НТУУ «КПИ»,True,выше среднего,Android,26/06/2017 22:17:12,"Mozilla/5.0 (iPad; CPU OS 10_3_2 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/59.0.3071.102 Mobile/14F89 Safari/602.1"
QA engineer,,General QA,1,1,1150,500,Киев,до 1000 человек,Продуктовая,m,31,Высшее,НТУУ «КПИ»,False,ниже среднего,Веб-разработка,26/06/2017 22:19:51,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0
Software Engineer,C++,,4,4,3200,300,Киев,до 10 человек,Другая,m,23,Высшее,НаУКМА,False,продвинутый,Gamedev,26/06/2017 22:23:20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Sales manager,,,3,3,700,150,Винница,до 1000 человек,Стартап,m,23,Высшее,Другой вуз,False,выше среднего,Другое,26/06/2017 22:27:04,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C#/.NET,,5,меньше 3 месяцев,3000,500,Львов,до 50 человек,Стартап,m,34,Высшее,Львовская Политехника,False,выше среднего,"Desktop Applications,Финансы и банки",26/06/2017 22:28:05,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Game designer,,,меньше 3 месяцев,меньше 3 месяцев,500,0,Киев,до 10 человек,Другая,m,27,Высшее,Другой вуз,False,средний,Gamedev,26/06/2017 22:36:27,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.898"
Team lead,,,10 и более лет,6,4000,0,Киев,до 1000 человек,Продуктовая,m,35,Два высших,ХНУРЭ,False,продвинутый,"Системное программирование,Gamedev",26/06/2017 22:39:09,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
Research Engineer,,,4,3,1777,300,Другой,до 1000 человек,Другая,m,27,Высшее,НаУКМА,False,продвинутый,"Embedded,Другое",26/06/2017 22:40:19,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
QA engineer,,Manual QA,7,2,1778,78,Киев,до 50 человек,Аутсорсинговая,m,40,Высшее,КНЭУ,False,выше среднего,Веб-разработка,26/06/2017 22:45:21,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,C#/.NET,,3,0.25,2500,1200,Киев,до 50 человек,Продуктовая,m,25,Высшее,Другой вуз,False,средний,Gamedev,26/06/2017 22:48:42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
DevOps,,,4,0.25,3500,1500,Киев,до 200 человек,Продуктовая,m,22,Высшее,НАУ,False,средний,,26/06/2017 22:58:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Project manager,,,2,2,1000,400,Харьков,до 50 человек,Другая,m,27,Высшее,ХНУРЭ,False,выше среднего,"Android,iOS",26/06/2017 23:05:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HR,,,2,2,500,100,Тернополь,до 50 человек,Аутсорсинговая,m,24,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,26/06/2017 23:13:50,"Mozilla/5.0 (Linux; Android 6.0.1; SM-G900H Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36"
Senior Software Engineer,C#/.NET,,7,1,3200,700,Киев,свыше 1000 человек,Аутсорсинговая,m,31,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Корпоративные системы",26/06/2017 23:24:39,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:52.0) Gecko/20100101 Firefox/52.0
Technical Lead,PHP,,10 и более лет,0.5,2400,0,Киев,до 50 человек,Продуктовая,m,26,Высшее,Другой вуз,False,средний,"Веб-разработка,Другое",26/06/2017 23:30:21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,Python,,2,меньше 3 месяцев,2000,1400,Киев,до 10 человек,Стартап,m,21,Высшее,НТУУ «КПИ»,True,средний,Веб-разработка,26/06/2017 23:36:13,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,5,0.25,2900,400,Киев,до 200 человек,Продуктовая,m,30,Высшее,НАУ,False,средний,"Веб-разработка,Финансы и банки",26/06/2017 23:40:10,Mozilla/5.0 (X11; Linux x86_64; rv:45.0) Gecko/20100101 Firefox/45.0
Software Engineer,Java,,0.5,0.25,3100,1500,Киев,до 50 человек,Аутстаффинговая,m,19,Незаконченное высшее,КНЭУ,False,элементарный,"Веб-разработка,eCommerce",26/06/2017 23:49:44,Mozilla/5.0 (X11; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0
System Architect,C#/.NET,,7,4,4000,0,Киев,свыше 1000 человек,Аутстаффинговая,m,28,Высшее,ДонНТУ,False,выше среднего,Другое,27/06/2017 00:01:55,"Mozilla/5.0 (Windows NT 10.0; ARM; Lumia 930) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.79 Safari/537.36 Edge/14.14393"
Senior Software Engineer,JavaScript,,4,0.5,3500,900,Удаленно,свыше 1000 человек,Продуктовая,m,24,Высшее,Львовская Политехника,False,выше среднего,"Веб-разработка,Корпоративные системы",27/06/2017 00:03:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Director of Engineering / Program Director,,,10 и более лет,0.5,4000,0,Киев,до 50 человек,Стартап,m,33,Высшее,НТУУ «КПИ»,False,выше среднего,eCommerce,27/06/2017 00:04:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
DevOps,,,9,0.25,3500,500,Киев,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,Другой вуз,False,средний,"Финансы и банки,eCommerce",27/06/2017 00:06:46,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
Software Engineer,C#/.NET,,6,5,3025,275,Днепр,до 200 человек,Продуктовая,m,27,Высшее,ДНУ им. Гончара,False,средний,Веб-разработка,27/06/2017 00:07:28,"Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5 Build/M4B30Z) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.92 Mobile Safari/537.36"
Junior Software Engineer,C#/.NET,,1,1,1000,500,Киев,свыше 1000 человек,Аутсорсинговая,m,21,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,Корпоративные системы",27/06/2017 00:19:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Project manager,,,3,1,1200,300,Одесса,до 50 человек,Аутсорсинговая,m,30,Высшее,ОНАС,False,выше среднего,"Веб-разработка,eCommerce",27/06/2017 00:21:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
QA engineer,,Manual QA,1,0.5,550,200,Львов,до 200 человек,Стартап,f,21,Незаконченное высшее,ЛНУ им. Франко,True,выше среднего,,27/06/2017 00:25:38,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,PHP,,5,1,2000,0,Львов,до 50 человек,Аутстаффинговая,m,25,Высшее,НметАУ,False,ниже среднего,eCommerce,27/06/2017 00:26:20,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
Junior Software Engineer,Java,,1.5,1,1150,600,Киев,свыше 1000 человек,Аутсорсинговая,m,24,Высшее,ДонНУ,False,средний,Веб-разработка,27/06/2017 00:42:21,"Mozilla/5.0 (Linux; Android 6.0; MZ-PRO 6 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.2454.94 Mobile Safari/537.36"
Technical Lead,C#/.NET,,10 и более лет,4,4000,0,Львов,до 10 человек,Стартап,m,35,Высшее,ЛНУ им. Франко,False,выше среднего,Веб-разработка,27/06/2017 00:48:09,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Senior Software Engineer,Python,,5,4,2600,100,Винница,до 200 человек,Аутсорсинговая,m,31,Высшее,ДонНТУ,False,средний,"Веб-разработка,eCommerce",27/06/2017 01:20:34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.4"
Support,,,5,4,2500,1000,Киев,до 1000 человек,Аутстаффинговая,m,28,Высшее,НТУУ «КПИ»,False,выше среднего,"Телекоммуникации,Другое",27/06/2017 01:27:59,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36"
Software Engineer,C#/.NET,,10 и более лет,1,1000,0,Черновцы,до 50 человек,Аутсорсинговая,m,40,Кандидат,Другой вуз,False,средний,Финансы и банки,27/06/2017 03:11:40,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:54.0) Gecko/20100101 Firefox/54.0
Senior Software Engineer,Java,,10 и более лет,4,2200,0,Ровно,до 50 человек,Аутсорсинговая,m,40,Высшее,Другой вуз,False,средний,Веб-разработка,27/06/2017 03:34:26,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HR,,,3,0.25,1000,500,Киев,до 10 человек,Аутстаффинговая,m,24,Среднее,,False,выше среднего,,27/06/2017 05:06:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.104 Safari/537.36"
Senior Project Manager / Program Manager,,,10 и более лет,2,4500,500,Киев,до 10 человек,Аутстаффинговая,m,50,Два высших,ДонНУ,False,продвинутый,"Desktop Applications,Веб-разработка",27/06/2017 06:49:25,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko
Senior Software Engineer,Java,,3,2,3200,0,Киев,свыше 1000 человек,Аутсорсинговая,m,33,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",27/06/2017 07:44:39,"Mozilla/5.0 (Windows NT 10.0; ARM; Lumia 640 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36 Edge/15.15063"
QA engineer,,General QA,1.5,1,300,0,Винница,до 10 человек,Продуктовая,m,35,Высшее,Другой вуз,False,средний,"Веб-разработка,eCommerce",27/06/2017 08:13:01,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:54.0) Gecko/20100101 Firefox/54.0
Senior Software Engineer,Java,,10 и более лет,0.5,5000,0,Киев,до 50 человек,Продуктовая,m,31,Высшее,НТУУ «КПИ»,False,продвинутый,Веб-разработка,27/06/2017 08:32:53,"Mozilla/5.0 (Linux; Android 7.0; SM-G935F Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Senior QA engineer,,Manual QA,4,1.5,1650,150,Днепр,свыше 1000 человек,Аутсорсинговая,f,25,Высшее,ДНУ им. Гончара,False,выше среднего,"Веб-разработка,eCommerce",27/06/2017 08:37:20,"Mozilla/5.0 (Linux; Android 5.1.1; Redmi 3 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
Junior Software Engineer,PHP,,1.5,меньше 3 месяцев,350,-100,Харьков,до 10 человек,Аутсорсинговая,m,21,Незаконченное высшее,Другой вуз,True,средний,"Веб-разработка,Мультимедиа",27/06/2017 08:43:20,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_1 like Mac OS X) AppleWebKit/602.2.14 (KHTML, like Gecko) Version/10.0 Mobile/14B150 Safari/602.1"
Senior Software Engineer,Delphi,,10 и более лет,10 и более лет,2400,1000,Удаленно,до 50 человек,Аутсорсинговая,m,40,Высшее,ХНУРЭ,False,ниже среднего,"Desktop Applications,Финансы и банки",27/06/2017 08:57:26,Mozilla/5.0 (Windows NT 6.1; rv:52.0) Gecko/20100101 Firefox/52.0
Software Engineer,C#/.NET,,3,1,1200,500,Харьков,до 200 человек,Продуктовая,m,24,Высшее,НТУ «ХПИ»,False,средний,Веб-разработка,27/06/2017 09:06:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C#/.NET,,10 и более лет,5,3200,0,Винница,свыше 1000 человек,Аутсорсинговая,m,42,Высшее,Другой вуз,False,выше среднего,Корпоративные системы,27/06/2017 09:08:52,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
QA engineer,,General QA,4,меньше 3 месяцев,1200,560,Киев,до 200 человек,Продуктовая,m,32,Высшее,НТУУ «КПИ»,False,средний,"Android,iOS",27/06/2017 09:21:43,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1"
Software Engineer,PHP,,5,4,450,70,Хмельницкий,до 10 человек,Продуктовая,m,29,Высшее,НУПТ,False,средний,Веб-разработка,27/06/2017 09:32:56,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
HR,,,0.5,0.5,300,50,Харьков,до 50 человек,Аутсорсинговая,f,23,Высшее,НТУ «ХПИ»,False,ниже среднего,,27/06/2017 09:53:17,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.898"
Software Engineer,C#/.NET,,6,1,800,200,Запорожье,до 50 человек,Аутсорсинговая,m,29,Высшее,Другой вуз,False,выше среднего,Веб-разработка,27/06/2017 09:56:43,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,JavaScript,,0.5,0.5,350,0,Николаев,до 1000 человек,Продуктовая,m,20,Высшее,ЧГУ им. Петра Могилы,True,ниже среднего,Веб-разработка,27/06/2017 10:02:41,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,Java,,10 и более лет,3,3500,0,Днепр,до 50 человек,Аутсорсинговая,m,35,Высшее,ДНУ им. Гончара,False,продвинутый,"Веб-разработка,Корпоративные системы",27/06/2017 10:03:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Project manager,,,3,3,4000,300,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,НАУ,False,выше среднего,Корпоративные системы,27/06/2017 10:06:26,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
HR,,,10 и более лет,3,1000,300,Одесса,до 200 человек,Продуктовая,m,50,Два высших,Другой вуз,False,ниже среднего,Телекоммуникации,27/06/2017 10:07:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Business analyst,,,3,0.5,2500,1000,Харьков,до 1000 человек,Продуктовая,m,33,Два высших,ХАИ,False,выше среднего,,27/06/2017 10:21:09,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
Project manager,,,10 и более лет,0.5,2800,-200,Киев,до 50 человек,Продуктовая,m,33,Высшее,НТУУ «КПИ»,False,продвинутый,"Веб-разработка,eCommerce",27/06/2017 10:25:10,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,1,1,200,100,Черкассы,до 50 человек,Аутсорсинговая,m,20,Высшее,Другой вуз,True,элементарный,Android,27/06/2017 10:40:20,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:54.0) Gecko/20100101 Firefox/54.0
HR,,,2,2,1300,1300,Львов,до 200 человек,Аутстаффинговая,f,23,Высшее,ЛНУ им. Франко,False,продвинутый,"Desktop Applications,Веб-разработка",27/06/2017 10:40:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Junior Software Engineer,Java,,1,1,460,0,Киев,до 50 человек,Другая,m,27,Высшее,КНУ им. Шевченко,False,средний,"Веб-разработка,Другое",27/06/2017 10:45:41,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Team lead,,,5,5,2000,100,Харьков,до 1000 человек,Продуктовая,f,38,Высшее,Другой вуз,False,средний,Gamedev,27/06/2017 10:51:00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Marketing,,,0.5,0.5,150,0,Одесса,до 200 человек,Другая,m,23,Высшее,ОНУ им. Мечникова,False,ниже среднего,"eCommerce,Другое",27/06/2017 10:53:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,1.5,1,700,200,Винница,до 50 человек,Аутстаффинговая,m,22,Высшее,ВНТУ,False,средний,"Веб-разработка,Корпоративные системы",27/06/2017 10:54:35,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Senior Software Engineer,C++,,10 и более лет,2,2200,200,Запорожье,до 50 человек,Продуктовая,m,36,Высшее,Другой вуз,False,средний,Системное программирование,27/06/2017 11:03:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
Software Engineer,JavaScript,,4,0.5,1800,300,Ивано-Франковск,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,Другой вуз,False,средний,Веб-разработка,27/06/2017 11:04:30,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
HR,,,3,0.5,400,150,Киев,до 200 человек,Аутсорсинговая,f,27,Высшее,ДНУ им. Гончара,False,выше среднего,"Веб-разработка,Системное программирование",27/06/2017 11:18:21,"Mozilla/5.0 (Linux; Android 6.0; MZ-U20 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/45.0.2454.94 Mobile Safari/537.36"
Software Engineer,PHP,,2,1.5,1000,600,Луцк,до 200 человек,Аутсорсинговая,m,24,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",27/06/2017 11:19:07,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
HTML coder,,,2,1,300,0,Винница,до 10 человек,Стартап,m,25,Высшее,ВНТУ,False,элементарный,Веб-разработка,27/06/2017 11:39:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36"
Support,,,3,0.5,176,35,Винница,до 1000 человек,Аутсорсинговая,m,28,Незаконченное высшее,ВНТУ,False,ниже среднего,Финансы и банки,27/06/2017 11:40:32,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
DevOps,,,10 и более лет,1.5,4000,200,Чернигов,до 10 человек,Другая,m,31,Высшее,Другой вуз,False,продвинутый,Другое,27/06/2017 11:42:32,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36"
HR,,,0.5,3,550,100,Днепр,свыше 1000 человек,Аутсорсинговая,f,32,Кандидат,ДонНУ,False,продвинутый,,27/06/2017 11:43:25,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
Senior Software Engineer,C++,,10 и более лет,0.5,2700,300,Удаленно,до 50 человек,Стартап,m,35,Кандидат,ВНТУ,False,средний,Embedded,27/06/2017 11:50:56,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
