,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты за 12 месяцев,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Университет,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Project manager,,,3,1.5,1260,500,Киев,до 200 человек,Продуктовая,m,25,Незаконченное высшее,НАУ,False,продвинутый,eCommerce,13/01/2017 10:43:18,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Talent Researcher,,,1.5,1.5,520,120,Харьков,до 200 человек,Аутсорсинговая,f,22,Высшее,ХНЭУ,False,средний,Другое,13/01/2017 10:44:31,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior QA engineer,,Manual QA,1.5,1,900,450,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,ВНТУ,False,выше среднего,Веб-разработка,13/01/2017 10:50:03,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Python,,3,0.5,2300,900,Львов,до 50 человек,Продуктовая,f,26,Высшее,ХНЭУ,False,средний,"Корпоративные системы,Другое",13/01/2017 10:55:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,QA engineer,,Manual QA,4,1,500,250,Запорожье,до 200 человек,Продуктовая,m,26,Техникум / Колледж,,False,средний,Gamedev,13/01/2017 11:03:38,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,7,1,2200,400,Винница,до 50 человек,Аутсорсинговая,m,30,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,13/01/2017 11:13:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,7,4000,0,Киев,свыше 1000 человек,Аутсорсинговая,m,41,Высшее,НТУУ «КПИ»,False,средний,"Desktop Applications,Веб-разработка",13/01/2017 11:16:13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Business analyst,,,0.25,0.25,1000,0,Киев,свыше 1000 человек,Аутсорсинговая,f,25,Высшее,НАУ,False,выше среднего,"Desktop Applications,Финансы и банки",13/01/2017 11:19:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36"
,Designer,,,10 и более лет,1.5,860,40,Киев,до 50 человек,Другая,m,31,Незаконченное высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",13/01/2017 11:20:05,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,PHP,,1.5,1.5,550,200,Киев,до 50 человек,Продуктовая,m,22,Среднее,,False,ниже среднего,"Веб-разработка,Корпоративные системы",13/01/2017 11:21:14,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Research Engineer,,,0.5,0.5,180,180,Киев,до 1000 человек,Аутсорсинговая,f,22,Высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,Корпоративные системы",13/01/2017 11:22:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,0.5,0.5,400,325,Харьков,до 1000 человек,Аутсорсинговая,f,28,Высшее,ХНУ им. Каразина,False,средний,,13/01/2017 11:23:16,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,JavaScript,,1.5,1.5,600,100,Харьков,до 10 человек,Продуктовая,m,23,Высшее,ВНУ им. Даля,False,ниже среднего,"Веб-разработка,Gamedev",13/01/2017 11:27:21,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 Safari/537.36"
,Sales manager,,,меньше 3 месяцев,меньше 3 месяцев,500,500,Киев,до 50 человек,Аутсорсинговая,f,28,Высшее,НТУУ «КПИ»,False,выше среднего,Другое,13/01/2017 11:36:39,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,1.5,0.5,500,200,Харьков,до 50 человек,Аутсорсинговая,f,27,Незаконченное высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",13/01/2017 11:39:41,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,Java,,3,1,2800,300,Киев,до 1000 человек,Аутсорсинговая,m,22,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,13/01/2017 11:42:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
,Senior Software Engineer,JavaScript,,10 и более лет,5,1100,0,Николаев,до 200 человек,Продуктовая,m,30,Незаконченное высшее,ОНУ им. Мечникова,False,ниже среднего,Веб-разработка,13/01/2017 11:43:50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.113 Safari/537.36"
,Junior QA engineer,,Manual QA,1,1,480,0,Львов,до 1000 человек,Аутсорсинговая,m,29,Высшее,ЛНУ им. Франко,False,выше среднего,"Веб-разработка,eCommerce",13/01/2017 11:56:47,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior QA engineer,,Manual QA,0.5,0.5,444,150,Винница,до 50 человек,Стартап,m,22,Высшее,ДонНУ,False,элементарный,"Android,iOS",13/01/2017 11:59:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,JavaScript,,1,0.5,475,125,Ивано-Франковск,до 50 человек,Аутсорсинговая,m,21,Высшее,Другой вуз,False,выше среднего,Веб-разработка,13/01/2017 12:13:10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Project manager,,,3,3,1600,500,Черкассы,до 200 человек,Аутсорсинговая,m,25,Высшее,Другой вуз,False,выше среднего,eCommerce,13/01/2017 12:18:28,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0.2 Safari/602.3.12"
,Software Engineer,SQL,,4,0.5,2450,1000,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,НТУУ «КПИ»,False,средний,"Корпоративные системы,Другое",13/01/2017 12:24:54,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,300,0,Киев,свыше 1000 человек,Продуктовая,m,26,Высшее,Другой вуз,False,элементарный,Телекоммуникации,13/01/2017 12:27:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,4,1,1000,0,Одесса,до 50 человек,Аутсорсинговая,m,25,Незаконченное высшее,ОНПУ,False,средний,,13/01/2017 12:34:23,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,3,3,1500,200,Днепр,до 1000 человек,Аутсорсинговая,m,23,Высшее,НГУ [Днепропетровск],False,средний,Desktop Applications,13/01/2017 12:38:31,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Designer,,,10 и более лет,4,2000,800,Киев,до 10 человек,Другая,m,29,Незаконченное высшее,КНУТД,False,ниже среднего,Веб-разработка,13/01/2017 12:39:38,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Business analyst,,,7,1,2400,400,Львов,свыше 1000 человек,Аутсорсинговая,f,29,Два высших,НТУУ «КПИ»,False,выше среднего,"eCommerce,Корпоративные системы",13/01/2017 12:48:54,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Ruby/Rails,,0.25,0.25,500,500,Киев,до 10 человек,Аутсорсинговая,m,22,Высшее,ГУТ,True,средний,Веб-разработка,13/01/2017 12:51:43,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,Software Engineer,PHP,,3,0.25,300,100,Одесса,до 50 человек,Аутсорсинговая,m,25,Высшее,ОНПУ,False,выше среднего,"Веб-разработка,eCommerce",13/01/2017 12:54:39,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,JavaScript,,1,1,500,100,Киев,до 10 человек,Аутсорсинговая,m,26,Высшее,Другой вуз,False,средний,Веб-разработка,13/01/2017 12:55:08,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,4,1.5,2500,1000,Киев,до 1000 человек,Продуктовая,f,27,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,Другое",13/01/2017 12:55:40,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior Software Engineer,JavaScript,,1.5,меньше 3 месяцев,1200,500,Киев,до 200 человек,Аутсорсинговая,m,27,Высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,13/01/2017 12:57:43,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Sysadmin,,,10 и более лет,0.5,320,0,Кировоград,до 10 человек,Другая,m,31,Высшее,Другой вуз,False,средний,Другое,13/01/2017 13:09:05,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36 OPR/42.0.2393.94"
,QA engineer,,Automation QA,2,1,2000,1150,Харьков,свыше 1000 человек,Аутсорсинговая,f,26,Высшее,ХНЭУ,False,средний,"Веб-разработка,Финансы и банки",13/01/2017 13:21:08,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,SQL,,2,меньше 3 месяцев,1000,200,Киев,свыше 1000 человек,Продуктовая,m,26,Высшее,НТУУ «КПИ»,False,средний,Телекоммуникации,13/01/2017 13:29:35,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,1С,,3,1,370,0,Киев,до 10 человек,Продуктовая,m,23,Высшее,НТУУ «КПИ»,False,элементарный,Другое,13/01/2017 13:31:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Technical Lead,C#/.NET,,10 и более лет,1,3800,0,Киев,до 200 человек,Аутсорсинговая,m,31,Высшее,ХНУРЭ,False,продвинутый,Веб-разработка,13/01/2017 13:37:21,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,1,0.5,1520,620,Киев,до 1000 человек,Аутсорсинговая,m,26,Незаконченное высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Корпоративные системы",13/01/2017 13:39:14,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,0.5,0.5,450,100,Харьков,до 50 человек,Аутсорсинговая,f,21,Высшее,НТУ «ХПИ»,False,средний,"Android,iOS",13/01/2017 13:40:51,"Mozilla/5.0 (Linux; Android 5.0.2; SM-A500H Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Project manager,,,7,3,2700,100,Одесса,свыше 1000 человек,Аутсорсинговая,m,28,Два высших,ОНАС,False,продвинутый,"Embedded,Финансы и банки",13/01/2017 13:43:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,PHP,,2,2,500,300,Винница,до 10 человек,Другая,m,21,Незаконченное высшее,ДонНУ,True,элементарный,Веб-разработка,13/01/2017 13:46:17,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Senior Software Engineer,Haskell,,3,1,2000,0,Киев,до 10 человек,Аутсорсинговая,m,50,Среднее,,False,продвинутый,Другое,13/01/2017 13:51:58,Mozilla/5.0 (X11; FreeBSD amd64; rv:50.0) Gecko/20100101 Firefox/50.0
,System Architect,PHP,,5,1,3000,1000,Харьков,до 10 человек,Продуктовая,m,23,Среднее,,False,ниже среднего,"Веб-разработка,Системное программирование",13/01/2017 13:54:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
,Software Engineer,C#/.NET,,4,4,400,100,Житомир,до 200 человек,Продуктовая,m,27,Высшее,ЖГТУ,False,средний,"Desktop Applications,Телекоммуникации",13/01/2017 14:00:32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Automation QA,2,1.5,700,0,Одесса,до 200 человек,Аутсорсинговая,m,27,Высшее,ВНТУ,False,ниже среднего,"Веб-разработка,Телекоммуникации",13/01/2017 14:41:30,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0
,Software Engineer,JavaScript,,5,3,1000,200,Львов,до 10 человек,Аутсорсинговая,m,28,Высшее,Другой вуз,False,элементарный,"Android,Веб-разработка",13/01/2017 14:46:40,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2970.0 Safari/537.36"
,Senior Software Engineer,Scala,,10 и более лет,3,6500,600,Киев,до 1000 человек,Продуктовая,m,37,Высшее,Другой вуз,False,выше среднего,Другое,13/01/2017 14:50:06,"Mozilla/5.0 (Linux; Android 6.0.1; A0001 Build/MHC19Q) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Project manager,,,10 и более лет,1.5,714,0,Киев,до 200 человек,Продуктовая,m,31,Высшее,КНЭУ,False,ниже среднего,Телекоммуникации,13/01/2017 14:53:12,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Java,,1,меньше 3 месяцев,800,100,Львов,до 200 человек,Аутстаффинговая,m,23,Высшее,Львовская Политехника,False,средний,"Веб-разработка,Финансы и банки",13/01/2017 15:07:11,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.75 Safari/537.36"
,Team lead,,,5,3,4180,200,Киев,до 1000 человек,Продуктовая,m,27,Высшее,НАУ,False,средний,"Веб-разработка,Gamedev",13/01/2017 15:08:00,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Marketing,,,5,2,200,0,Харьков,до 50 человек,Другая,m,27,Два высших,НТУ «ХПИ»,False,элементарный,eCommerce,13/01/2017 15:08:17,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.100 YaBrowser/16.11.1.673 Yowser/2.5 Safari/537.36"
,Marketing,,,3,1.5,900,300,Киев,до 50 человек,Стартап,m,26,Высшее,НТУУ «КПИ»,False,выше среднего,eCommerce,13/01/2017 15:12:44,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Sysadmin,,,8,4,1000,-300,Киев,до 200 человек,Продуктовая,m,32,Высшее,Другой вуз,False,средний,"eCommerce,Корпоративные системы",13/01/2017 15:18:01,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior Software Engineer,Java,,2,1.5,1500,1000,Харьков,свыше 1000 человек,Аутстаффинговая,m,25,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Корпоративные системы",13/01/2017 15:18:47,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior Software Engineer,C#/.NET,,5,4,2000,0,Киев,до 50 человек,Аутсорсинговая,m,26,Высшее,НАУ,False,средний,Веб-разработка,13/01/2017 15:36:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,Manual QA,2,2,900,200,Днепр,до 10 человек,Продуктовая,m,30,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,Gamedev",13/01/2017 15:50:34,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,1.5,1.5,170,70,Харьков,до 50 человек,Аутсорсинговая,f,22,Высшее,ХНУ им. Каразина,True,ниже среднего,Другое,13/01/2017 15:54:45,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Sales manager,,,3,1,500,600,Луцк,до 200 человек,Другая,f,21,Высшее,Другой вуз,False,продвинутый,"Desktop Applications,Веб-разработка",13/01/2017 15:57:36,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,JavaScript,,3,1,1500,500,Днепр,свыше 1000 человек,Аутсорсинговая,m,22,Высшее,ДНУ им. Гончара,False,ниже среднего,"Веб-разработка,Финансы и банки",13/01/2017 16:00:55,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,JavaScript,,10 и более лет,10 и более лет,2500,0,Удаленно,до 10 человек,Продуктовая,m,38,Высшее,ХНУРЭ,False,ниже среднего,"Веб-разработка,Другое",13/01/2017 16:03:58,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Java,,1,1,920,320,Одесса,до 50 человек,Аутсорсинговая,m,33,Высшее,Другой вуз,False,средний,"Веб-разработка,Корпоративные системы",13/01/2017 16:12:01,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,JavaScript,,2,2,700,150,Киев,до 200 человек,Аутсорсинговая,m,23,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",13/01/2017 16:15:13,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,3,0.25,630,0,Киев,до 50 человек,Продуктовая,f,30,Высшее,Другой вуз,False,выше среднего,"Desktop Applications,eCommerce",13/01/2017 16:15:42,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,3,3,2000,600,Харьков,свыше 1000 человек,Аутсорсинговая,m,23,Высшее,НТУ «ХПИ»,False,средний,"Android,Веб-разработка",13/01/2017 16:26:41,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,HR,,,4,3,2000,200,Харьков,до 200 человек,Аутстаффинговая,f,26,Высшее,Другой вуз,False,выше среднего,eCommerce,13/01/2017 16:46:45,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Project manager,,,4,меньше 3 месяцев,3500,0,Киев,до 1000 человек,Аутсорсинговая,m,34,Техникум / Колледж,,False,выше среднего,"Веб-разработка,Embedded",13/01/2017 17:13:15,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,QA engineer,,General QA,2,0.5,1300,500,Харьков,до 1000 человек,Аутсорсинговая,f,25,Высшее,ХАИ,False,средний,"Веб-разработка,Мультимедиа",13/01/2017 17:42:41,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,Java,,0.5,0.5,400,0,Киев,до 50 человек,Другая,m,22,Высшее,НАУ,False,продвинутый,Android,13/01/2017 17:54:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Junior Software Engineer,JavaScript,,2,1,300,0,Винница,до 50 человек,Аутсорсинговая,m,23,Высшее,ВНТУ,False,элементарный,Веб-разработка,13/01/2017 18:07:12,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Project manager,,,0.5,0.5,240,75,Киев,до 10 человек,Другая,m,24,Высшее,КНУ им. Шевченко,False,средний,Веб-разработка,13/01/2017 18:23:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,1.5,0.5,1400,800,Днепр,до 50 человек,Продуктовая,f,20,Незаконченное высшее,ДНУ им. Гончара,True,выше среднего,Веб-разработка,13/01/2017 18:26:40,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Senior QA engineer,,General QA,4,4,2300,0,Киев,до 50 человек,Продуктовая,f,30,Высшее,Другой вуз,False,средний,"Desktop Applications,Веб-разработка",13/01/2017 18:27:32,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C#/.NET,,3,1.5,2300,200,Киев,свыше 1000 человек,Аутстаффинговая,m,25,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Корпоративные системы",13/01/2017 18:31:58,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36 OPR/42.0.2393.94"
,Project manager,,,5,5,3400,500,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,НТУУ «КПИ»,False,продвинутый,"Веб-разработка,eCommerce",13/01/2017 18:45:47,"Mozilla/5.0 (Linux; Android 6.0.1; SM-A500H Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Business analyst,,,10 и более лет,0.25,3200,1000,Киев,свыше 1000 человек,Аутсорсинговая,m,36,Высшее,Другой вуз,False,выше среднего,"eCommerce,Корпоративные системы",13/01/2017 19:17:50,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,PHP,,7,0.5,2500,0,Киев,до 200 человек,Продуктовая,m,26,Высшее,Другой вуз,False,средний,"Веб-разработка,Другое",13/01/2017 19:19:47,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.95 Safari/537.36"
,Designer,,,3,2,1500,400,Винница,до 50 человек,Аутсорсинговая,m,30,Незаконченное высшее,ХАИ,False,ниже среднего,"Android,iOS",13/01/2017 19:32:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
,Software Engineer,C++,,1,1,1000,400,Киев,до 50 человек,Продуктовая,m,20,Высшее,НТУУ «КПИ»,True,выше среднего,Финансы и банки,13/01/2017 19:45:36,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Mobile/14C92"
,DevOps,,,10 и более лет,1,3500,1300,Киев,свыше 1000 человек,Аутсорсинговая,m,39,Два высших,НТУУ «КПИ»,False,средний,"eCommerce,Корпоративные системы",13/01/2017 20:03:30,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0
,Junior Software Engineer,C#/.NET,,1.5,меньше 3 месяцев,700,500,Черновцы,свыше 1000 человек,Аутсорсинговая,m,22,Высшее,Другой вуз,False,средний,"Desktop Applications,Веб-разработка",13/01/2017 20:13:32,"Mozilla/5.0 (Linux; Android 6.0; HTC One_M8 Build/MRA58K.H15) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.91 Mobile Safari/537.36"
,Software Engineer,JavaScript,,3,0.25,900,1100,Киев,до 50 человек,Аутсорсинговая,m,25,Высшее,ХНУРЭ,True,средний,Веб-разработка,13/01/2017 20:19:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.87 Safari/537.36"
