,Должность,Язык программирования,Специализация,Общий опыт работы,Опыт работы на текущем месте,Зарплата в месяц,Изменение зарплаты,Город,Размер компании,Тип компании,Пол,Возраст,Образование,Еще студент,Уровень английского,Предметная область,Дата заполнения,User-Agent
,Software Engineer,Java,,1.5,2.5,800,0,Харьков,до 200 человек,Продуктовая,m,26,Высшее,False,ниже среднего,Веб-разработка,31/12/2013 20:25:59,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Системный администратор,,,5,3,700,50,Харьков,до 200 человек,Аутсорсинговая,m,38,Высшее,False,продвинутый,"Веб-разработка,Другое",31/12/2013 20:41:08,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0
,Junior Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,650,0,Киев,до 1000 человек,Продуктовая,m,21,Незаконченное высшее,True,выше среднего,Финансы и банки,31/12/2013 21:02:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Team lead,,,5,3.5,3200,500,Киев,до 50 человек,Другая,m,29,Высшее,False,продвинутый,Корпоративные системы,31/12/2013 21:04:14,Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0
,QA engineer,,General QA,2,0.5,1000,600,Киев,до 10 человек,Продуктовая,m,23,Высшее,False,средний,"Embedded,Корпоративные системы",31/12/2013 21:04:42,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Other,,меньше 3 месяцев,0.5,717,200,Киев,до 200 человек,Другая,m,23,Высшее,False,средний,Финансы и банки,31/12/2013 21:29:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,меньше 3 месяцев,меньше 3 месяцев,1500,0,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,ниже среднего,Веб-разработка,31/12/2013 21:38:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,1,0.25,800,0,Львов,до 200 человек,Аутсорсинговая,m,25,Высшее,False,средний,"Веб-разработка,Корпоративные системы",31/12/2013 22:00:04,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,Manual QA,0.5,0.5,500,0,Львов,до 50 человек,Аутсорсинговая,f,27,Высшее,False,элементарный,"Android,iOS",31/12/2013 23:44:09,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,7,1.5,2600,600,Киев,свыше 1000 человек,Аутсорсинговая,m,30,Высшее,False,выше среднего,Веб-разработка,31/12/2013 23:51:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Системный администратор,,,2.5,0.25,150,50,Киев,до 200 человек,Аутстаффинговая,m,22,Высшее,False,ниже среднего,,31/12/2013 23:55:11,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Ruby/Rails,,7,0.75,4000,1800,Донецк,до 10 человек,Продуктовая,m,40,Высшее,False,выше среднего,Веб-разработка,01/01/2014 00:02:25,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Ruby/Rails,,меньше 3 месяцев,меньше 3 месяцев,600,0,Харьков,до 50 человек,Аутстаффинговая,m,23,Высшее,False,продвинутый,"Веб-разработка,Финансы и банки",01/01/2014 02:26:50,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,Manual QA,меньше 3 месяцев,меньше 3 месяцев,950,950,Ровно,свыше 1000 человек,Аутсорсинговая,m,31,Высшее,False,средний,"Android,Desktop Applications",01/01/2014 10:44:19,"Mozilla/5.0 (Linux; U; Android 4.1.2;en-us; Lenovo_A706_ROW/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.1.2 Mobile Safari/534.30"
,Senior Software Engineer,Java,,6.5,1,2700,0,Днепропетровск,свыше 1000 человек,Аутсорсинговая,m,31,Два высших,False,ниже среднего,Финансы и банки,01/01/2014 12:13:53,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,Java,,5,2.5,2000,0,Киев,до 50 человек,Аутсорсинговая,f,37,Высшее,False,выше среднего,"Desktop Applications,Веб-разработка",01/01/2014 13:07:13,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:22.0) Gecko/20100101 Firefox/22.0
,Software Engineer,Java,,7,1,3200,1000,Другой,до 200 человек,Другая,m,31,Высшее,False,продвинутый,"Веб-разработка,eCommerce",01/01/2014 13:41:26,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53"
,Senior Software Engineer,PHP,,6,1.5,3000,300,Киев,до 200 человек,Аутстаффинговая,m,27,Высшее,False,выше среднего,Веб-разработка,01/01/2014 14:48:48,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Software Engineer,Java,,меньше 3 месяцев,меньше 3 месяцев,1100,150,Харьков,до 10 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,ниже среднего,Корпоративные системы,01/01/2014 14:51:00,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,6,1.5,1600,0,Киев,до 50 человек,Продуктовая,m,30,Высшее,False,элементарный,Веб-разработка,01/01/2014 15:33:46,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Team lead,,,5,2,2800,200,Киев,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,Desktop Applications,01/01/2014 16:08:01,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Project manager,,,10 и более лет,0.25,5000,750,Киев,до 50 человек,Продуктовая,m,32,Два высших,False,продвинутый,eCommerce,01/01/2014 16:56:25,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,0.5,0.5,610,0,Киев,до 1000 человек,Продуктовая,m,21,Высшее,False,средний,"Desktop Applications,Веб-разработка",01/01/2014 17:01:09,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,Senior Software Engineer,Java,,6,6,2000,300,Харьков,до 50 человек,Продуктовая,m,28,Высшее,False,выше среднего,"Desktop Applications,Embedded",01/01/2014 17:50:00,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53"
,Junior Software Engineer,Java,,1.25,1.25,665,400,Львов,до 1000 человек,Аутсорсинговая,m,24,Высшее,False,средний,Веб-разработка,01/01/2014 18:05:25,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,Automation QA,3,2,1500,300,Одесса,до 200 человек,Аутсорсинговая,m,26,Высшее,False,средний,Веб-разработка,01/01/2014 18:28:52,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Бизнес-аналитик,,,10 и более лет,0.5,4400,1100,Киев,свыше 1000 человек,Аутсорсинговая,m,34,Кандидат,False,выше среднего,Финансы и банки,01/01/2014 18:46:36,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,2,4000,800,Другой,до 1000 человек,Аутстаффинговая,m,33,Два высших,False,продвинутый,Веб-разработка,01/01/2014 18:47:33,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Objective-C,,5,меньше 3 месяцев,2000,400,Донецк,до 200 человек,Аутсорсинговая,m,31,Незаконченное высшее,False,ниже среднего,,01/01/2014 19:04:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Системный администратор,,,8,1,2750,500,Николаев,до 200 человек,Другая,m,23,Высшее,False,средний,Телекоммуникации,01/01/2014 19:16:03,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior QA engineer,,Manual QA,9.5,5,1600,700,Харьков,до 1000 человек,Аутсорсинговая,f,31,Кандидат,False,средний,"iOS,Desktop Applications",01/01/2014 20:31:50,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)
,Senior Software Engineer,PHP,,4,0.5,3000,1100,Харьков,до 10 человек,Аутсорсинговая,m,26,Высшее,False,средний,Веб-разработка,01/01/2014 20:44:19,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,JavaScript,,2.5,0.5,1950,950,Львов,до 1000 человек,Аутсорсинговая,m,26,Незаконченное высшее,False,средний,"Веб-разработка,Мультимедиа",01/01/2014 21:05:37,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0)
,QA engineer,,Automation QA,5,5,1000,0,Львов,до 1000 человек,Аутсорсинговая,m,27,Высшее,False,средний,Веб-разработка,01/01/2014 21:06:32,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,1.75,0.25,1100,500,Днепропетровск,до 10 человек,Продуктовая,m,28,Высшее,False,элементарный,"Веб-разработка,Корпоративные системы",01/01/2014 21:14:58,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Flex/Flash/AIR,,7,меньше 3 месяцев,2000,0,Киев,свыше 1000 человек,Продуктовая,m,28,Высшее,False,элементарный,"Gamedev,Другое",01/01/2014 21:20:35,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:26.0) Gecko/20100101 Firefox/26.0
,QA engineer,,Manual QA,1.25,0.5,700,0,Харьков,до 200 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,средний,eCommerce,01/01/2014 21:43:10,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,System Architect / Системный архитектор,C++,,10 и более лет,10 и более лет,3100,0,Днепропетровск,до 1000 человек,Продуктовая,m,33,Высшее,False,средний,Desktop Applications,01/01/2014 22:03:59,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,SQL,,1,1,1000,700,Львов,до 10 человек,Другая,m,24,Высшее,False,выше среднего,,01/01/2014 22:06:45,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C++,,10 и более лет,3,2450,0,Другой,до 200 человек,Продуктовая,m,29,Два высших,False,выше среднего,"Системное программирование,Корпоративные системы",01/01/2014 22:11:48,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Java,,5,0.25,3300,1300,Киев,свыше 1000 человек,Аутстаффинговая,m,27,Высшее,False,продвинутый,"Финансы и банки,Корпоративные системы",01/01/2014 22:13:53,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,2.5,2.5,1000,260,Харьков,до 1000 человек,Аутсорсинговая,m,27,Высшее,False,средний,Веб-разработка,01/01/2014 22:16:27,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,General QA,2,0.75,750,500,Львов,до 1000 человек,Продуктовая,f,28,Кандидат,False,выше среднего,"Desktop Applications,Корпоративные системы",01/01/2014 22:23:33,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0
,Software Engineer,C#/.NET,,1.5,меньше 3 месяцев,1600,800,Киев,свыше 1000 человек,Аутсорсинговая,m,25,Высшее,False,средний,Веб-разработка,01/01/2014 22:27:31,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,PHP,,6,2.5,2800,0,Одесса,до 10 человек,Другая,m,30,Незаконченное высшее,False,выше среднего,Веб-разработка,01/01/2014 22:29:26,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9) AppleWebKit/537.71 (KHTML, like Gecko) Version/7.0 Safari/537.71"
,Senior Software Engineer,JavaScript,,10 и более лет,7,3500,250,Киев,свыше 1000 человек,Аутсорсинговая,m,32,Высшее,False,средний,"Веб-разработка,Корпоративные системы",01/01/2014 23:01:35,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.68 Safari/537.36"
,Junior Software Engineer,JavaScript,,меньше 3 месяцев,1,500,200,Харьков,до 50 человек,Стартап,m,23,Высшее,False,ниже среднего,Веб-разработка,01/01/2014 23:26:21,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,Automation QA,2.5,1.5,1750,450,Харьков,свыше 1000 человек,Аутсорсинговая,m,21,Высшее,False,средний,Desktop Applications,01/01/2014 23:56:02,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Бизнес-аналитик,,,1.25,меньше 3 месяцев,850,550,Днепропетровск,до 10 человек,Продуктовая,m,22,Высшее,False,средний,Gamedev,01/01/2014 23:56:24,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Technical Lead,C,,7,0.5,3000,100,Львов,до 200 человек,Аутсорсинговая,m,32,Высшее,False,средний,Системное программирование,02/01/2014 00:14:27,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,SQL,,10 и более лет,0.5,2168,360,Киев,до 50 человек,Другая,m,38,Высшее,False,средний,Корпоративные системы,02/01/2014 00:23:03,Mozilla/5.0 (Windows NT 5.2; rv:26.0) Gecko/20100101 Firefox/26.0
,Гейм-дизайнер,,,3,1.5,1000,0,Днепропетровск,до 200 человек,Продуктовая,f,27,Высшее,False,средний,"iOS,Gamedev",02/01/2014 00:36:18,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,Automation QA,меньше 3 месяцев,5.5,1974,70,Киев,до 50 человек,Продуктовая,m,29,Высшее,False,выше среднего,Телекоммуникации,02/01/2014 00:42:57,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Java,,3,1.75,1050,1050,Винница,свыше 1000 человек,Аутсорсинговая,m,35,Кандидат,False,ниже среднего,Android,02/01/2014 00:54:52,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,C#/.NET,,10 и более лет,10 и более лет,3500,0,Харьков,до 200 человек,Аутстаффинговая,m,38,Высшее,False,ниже среднего,eCommerce,02/01/2014 01:22:57,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Flex/Flash/AIR,,3,1.75,2250,800,Днепропетровск,до 200 человек,Продуктовая,m,24,Высшее,False,ниже среднего,"Android,iOS",02/01/2014 01:26:08,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA engineer,,General QA,1.5,1.5,1100,350,Киев,свыше 1000 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,продвинутый,Веб-разработка,02/01/2014 02:02:14,Mozilla/5.0 (Windows NT 6.1; rv:26.0) Gecko/20100101 Firefox/26.0
,Junior Software Engineer,Java,,1.25,1.25,900,400,Харьков,до 1000 человек,Аутсорсинговая,m,26,Высшее,False,ниже среднего,Веб-разработка,02/01/2014 03:02:00,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Java,,7,3,3900,200,Киев,свыше 1000 человек,Аутсорсинговая,m,29,Высшее,False,выше среднего,"Телекоммуникации,Корпоративные системы",02/01/2014 03:02:15,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior QA engineer,,Automation QA,7,6,2000,0,Харьков,до 50 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"eCommerce,Другое",02/01/2014 04:48:16,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Flex/Flash/AIR,,3,3,400,400,Винница,до 10 человек,Другая,m,18,Среднее,False,выше среднего,"Android,Gamedev",02/01/2014 06:09:51,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C#/.NET,,4,0.75,1700,200,Севастополь,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,средний,Веб-разработка,02/01/2014 08:20:13,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Java,,4.5,1,3000,0,Киев,до 10 человек,Аутстаффинговая,m,29,Высшее,False,средний,Финансы и банки,02/01/2014 08:59:10,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:26.0) Gecko/20100101 Firefox/26.0
,Junior Software Engineer,Other,,0.25,0.25,500,0,Донецк,до 50 человек,Продуктовая,m,22,Два высших,False,средний,Корпоративные системы,02/01/2014 09:08:35,Opera/9.80 (Windows NT 6.1; WOW64) Presto/2.12.388 Version/12.16
,Senior QA engineer,,Automation QA,10 и более лет,0.75,2400,0,Киев,свыше 1000 человек,Аутсорсинговая,m,37,Высшее,False,средний,"Веб-разработка,Телекоммуникации",02/01/2014 09:43:52,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,HR,,,2,0.5,700,300,Одесса,до 50 человек,Продуктовая,f,22,Высшее,False,выше среднего,Веб-разработка,02/01/2014 09:46:59,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Delphi,,10 и более лет,0.5,1500,900,Львов,до 200 человек,Аутсорсинговая,m,31,Высшее,False,средний,Корпоративные системы,02/01/2014 10:22:48,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Support,,,1.5,1.5,500,62,Киев,до 50 человек,Другая,m,23,Два высших,False,выше среднего,Телекоммуникации,02/01/2014 10:35:12,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C++,,2.5,меньше 3 месяцев,2700,700,Киев,до 200 человек,Продуктовая,m,23,Высшее,False,продвинутый,Embedded,02/01/2014 10:36:52,"Mozilla/5.0 (iPad; CPU OS 6_0_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A523 Safari/8536.25"
,Junior Software Engineer,C#/.NET,,0.75,0.75,600,0,Полтава,до 10 человек,Аутсорсинговая,m,22,Незаконченное высшее,True,элементарный,,02/01/2014 10:39:44,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Support,,,5,0.5,1800,500,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,Финансы и банки,02/01/2014 10:49:12,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36"
,Software Engineer,Java,,3.5,1.75,2600,0,Киев,до 1000 человек,Аутсорсинговая,m,23,Высшее,True,выше среднего,eCommerce,02/01/2014 10:49:20,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,System Architect / Системный архитектор,C#/.NET,,10 и более лет,меньше 3 месяцев,4700,1200,Киев,до 200 человек,Продуктовая,m,31,Высшее,False,выше среднего,Финансы и банки,02/01/2014 10:55:50,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,QA Tech Lead,,Automation QA,10 и более лет,3,3500,150,Киев,до 200 человек,Аутсорсинговая,m,30,Незаконченное высшее,False,продвинутый,"Desktop Applications,Веб-разработка",02/01/2014 11:00:24,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Дизайнер,,,5,0.25,1200,500,Киев,до 50 человек,Продуктовая,m,24,Высшее,False,продвинутый,Gamedev,02/01/2014 11:22:50,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,Objective-C,,меньше 3 месяцев,меньше 3 месяцев,800,300,Харьков,до 1000 человек,Аутсорсинговая,m,23,Незаконченное высшее,True,ниже среднего,iOS,02/01/2014 11:24:25,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,C++,,1,меньше 3 месяцев,1710,200,Киев,свыше 1000 человек,Аутсорсинговая,m,26,Высшее,False,выше среднего,"Финансы и банки,Корпоративные системы",02/01/2014 11:30:41,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.11 (KHTML, like Gecko) Chrome/23.0.1271.95 Safari/537.11"
,Senior Software Engineer,Java,,7,4,3500,500,Одесса,до 50 человек,Аутстаффинговая,m,29,Незаконченное высшее,False,продвинутый,Корпоративные системы,02/01/2014 11:32:56,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,JavaScript,,6,1.5,2500,700,Харьков,до 200 человек,Аутстаффинговая,m,28,Высшее,False,выше среднего,Корпоративные системы,02/01/2014 12:02:45,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Perl,,7,6,3000,150,Киев,до 200 человек,Аутсорсинговая,m,28,Высшее,False,средний,Веб-разработка,02/01/2014 12:04:47,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,Automation QA,меньше 3 месяцев,0.25,500,0,Одесса,до 200 человек,Аутсорсинговая,m,27,Высшее,False,средний,"Веб-разработка,Телекоммуникации",02/01/2014 12:05:37,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Software Engineer,Delphi,,4.5,4.5,345,0,Тернополь,до 10 человек,Другая,m,28,Высшее,False,элементарный,"Desktop Applications,Корпоративные системы",02/01/2014 12:07:46,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Senior Software Engineer,Other,,9,9,6700,700,Львов,до 200 человек,Аутсорсинговая,m,33,Высшее,False,выше среднего,Корпоративные системы,02/01/2014 12:08:23,Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/20100101 Firefox/17.0
,Бизнес-аналитик,,,2,4,1425,200,Киев,до 50 человек,Продуктовая,f,25,Высшее,False,выше среднего,Корпоративные системы,02/01/2014 12:15:53,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)
,Junior QA engineer,,Manual QA,1,1,612,120,Киев,до 50 человек,Аутсорсинговая,m,26,Два высших,False,средний,"Desktop Applications,Корпоративные системы",02/01/2014 12:17:23,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior QA engineer,,Manual QA,0.5,0.5,700,450,Харьков,до 50 человек,Стартап,f,25,Высшее,False,средний,"iOS,Веб-разработка",02/01/2014 12:30:22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
,Junior Software Engineer,C#/.NET,,меньше 3 месяцев,1,500,600,Львов,до 10 человек,Другая,m,23,Высшее,False,ниже среднего,"Веб-разработка,Системное программирование",02/01/2014 12:47:31,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/537.36"
